tweet_id,favorites,retweets,user_followers,user_favourites,date_time
687124485711986689,2260,533,7769814,141082,2016-01-13 04:10:18
687109925361856513,6074,2616,7769814,141082,2016-01-13 03:12:26
687102708889812993,2442,1051,7769814,141082,2016-01-13 02:43:46
687096057537363968,2347,642,7769814,141082,2016-01-13 02:17:20
686947101016735744,8996,3376,7769814,141082,2016-01-12 16:25:26
686760001961103360,3677,1461,7769814,141082,2016-01-12 04:01:58
686749460672679938,3628,1548,7769814,141082,2016-01-12 03:20:05
686730991906516992,4336,1273,7769814,141082,2016-01-12 02:06:41
686683045143953408,2935,851,7769814,141082,2016-01-11 22:56:10
686618349602762752,3857,1449,7769814,141082,2016-01-11 18:39:05
686606069955735556,1980,580,7769814,141082,2016-01-11 17:50:18
686394059078897668,1824,720,7769814,141082,2016-01-11 03:47:50
686386521809772549,3405,934,7769814,141082,2016-01-11 03:17:53
686377065986265092,2318,598,7769814,141082,2016-01-11 02:40:19
686358356425093120,2300,723,7769814,141082,2016-01-11 01:25:58
686286779679375361,4174,1769,7769814,141082,2016-01-10 20:41:33
686050296934563840,2304,776,7769814,141082,2016-01-10 05:01:51
686035780142297088,1206,129,7769814,141082,2016-01-10 04:04:10
686034024800862208,3260,1237,7769814,141082,2016-01-10 03:57:12
686007916130873345,2595,449,7769814,141082,2016-01-10 02:13:27
686003207160610816,1910,677,7769814,141082,2016-01-10 01:54:44
685973236358713344,2206,557,7769814,141082,2016-01-09 23:55:38
685943807276412928,1701,638,7769814,141082,2016-01-09 21:58:42
685906723014619143,7852,3097,7769814,141082,2016-01-09 19:31:20
685681090388975616,2124,134,7769814,141082,2016-01-09 04:34:45
685667379192414208,2448,608,7769814,141082,2016-01-09 03:40:16
685663452032069632,3402,1556,7769814,141082,2016-01-09 03:24:40
685641971164143616,3064,831,7769814,141082,2016-01-09 01:59:19
685547936038666240,34428,16685,7770419,141083,2016-01-08 19:45:39
685532292383666176,3173,1226,7769814,141082,2016-01-08 18:43:29
685325112850124800,9903,4232,7769814,141082,2016-01-08 05:00:14
685321586178670592,2766,684,7769814,141082,2016-01-08 04:46:13
685315239903100929,3501,1149,7769814,141082,2016-01-08 04:21:00
685307451701334016,2164,467,7769814,141082,2016-01-08 03:50:03
685268753634967552,3230,1280,7769814,141082,2016-01-08 01:16:17
685198997565345792,2435,705,7769814,141082,2016-01-07 20:39:06
685169283572338688,4276,1511,7769814,141082,2016-01-07 18:41:01
684969860808454144,2469,402,7769814,141082,2016-01-07 05:28:35
684959798585110529,7117,3329,7769814,141082,2016-01-07 04:48:36
684940049151070208,3358,1108,7769814,141082,2016-01-07 03:30:07
684926975086034944,3660,493,7769814,141082,2016-01-07 02:38:10
684914660081053696,3666,1558,7769814,141082,2016-01-07 01:49:14
684902183876321280,1962,564,7769814,141082,2016-01-07 00:59:40
684880619965411328,2195,871,7769814,141082,2016-01-06 23:33:58
684830982659280897,36571,22973,7769814,141082,2016-01-06 20:16:44
684800227459624960,2836,1059,7769814,141082,2016-01-06 18:14:31
684594889858887680,9325,3754,7769814,141082,2016-01-06 04:38:35
684588130326986752,4302,1492,7769814,141082,2016-01-06 04:11:43
684567543613382656,3141,1308,7769814,141082,2016-01-06 02:49:55
684538444857667585,2768,1012,7769814,141082,2016-01-06 00:54:18
684481074559381504,4052,1241,7769815,141082,2016-01-05 21:06:19
684460069371654144,2070,590,7769815,141082,2016-01-05 19:42:51
684241637099323392,8509,3519,7769815,141082,2016-01-05 05:14:53
684225744407494656,1288,227,7769815,141082,2016-01-05 04:11:44
684222868335505415,4000,1464,7769815,141082,2016-01-05 04:00:18
684200372118904832,2258,1096,7769815,141082,2016-01-05 02:30:55
684195085588783105,2001,550,7769815,141082,2016-01-05 02:09:54
684188786104872960,3631,1251,7769815,141082,2016-01-05 01:44:52
684177701129875456,2108,715,7769815,141082,2016-01-05 01:00:50
684147889187209216,3110,1591,7769815,141082,2016-01-04 23:02:22
684122891630342144,2084,501,7769815,141082,2016-01-04 21:23:02
684097758874210310,4285,1527,7769815,141082,2016-01-04 19:43:10
683857920510050305,3974,1188,7769815,141082,2016-01-04 03:50:08
683852578183077888,2014,371,7769815,141082,2016-01-04 03:28:54
683849932751646720,2735,1041,7769815,141082,2016-01-04 03:18:23
683834909291606017,2732,1182,7769815,141082,2016-01-04 02:18:42
683828599284170753,2924,1123,7769815,141082,2016-01-04 01:53:37
683773439333797890,3490,1443,7769815,141082,2016-01-03 22:14:26
683742671509258241,6782,3534,7769815,141082,2016-01-03 20:12:10
683515932363329536,7686,3104,7769815,141082,2016-01-03 05:11:12
683498322573824003,3310,1024,7769815,141082,2016-01-03 04:01:13
683481228088049664,2756,1058,7769815,141082,2016-01-03 02:53:17
683462770029932544,2533,712,7769815,141082,2016-01-03 01:39:57
683449695444799489,4063,1712,7769815,141082,2016-01-03 00:47:59
683391852557561860,7953,2535,7769815,141082,2016-01-02 20:58:09
683357973142474752,3067,998,7769815,141082,2016-01-02 18:43:31
683142553609318400,3015,1109,7769815,141082,2016-01-02 04:27:31
683111407806746624,3546,971,7769815,141082,2016-01-02 02:23:45
683098815881154561,2264,703,7769815,141082,2016-01-02 01:33:43
683078886620553216,2069,599,7769815,141082,2016-01-02 00:14:32
683030066213818368,2245,773,7769815,141082,2016-01-01 21:00:32
682962037429899265,38571,17739,7769815,141082,2016-01-01 16:30:13
682808988178739200,1848,192,7769815,141082,2016-01-01 06:22:03
682788441537560576,2577,1188,7769815,141082,2016-01-01 05:00:24
682750546109968385,1586,463,7769815,141082,2016-01-01 02:29:49
682697186228989953,1369,380,7769815,141082,2015-12-31 22:57:47
682662431982772225,3178,1150,7769815,141082,2015-12-31 20:39:41
